Step,Agent,Horizon,Chosen_Action,Sample_Q
15,1,2,2,[-61.835486   -13.835486   -13.83548598 -31.15405187 -33.22561765]
15,1,3,2,[-61.70400604 -13.70400604 -13.70400601 -31.15433902 -33.21580844]
15,1,4,2,[-61.57186537 -13.57186537 -13.57186534 -31.13993306 -33.19864092]
15,1,5,2,[-61.43906067 -13.43906067 -13.43906064 -31.1079813  -33.17228797]
15,1,6,2,[-61.30558862 -13.30558862 -13.30558858 -31.07873255 -33.14634073]
15,2,1,3,[18.18119823 12.82573741 20.23997038 23.78047787 20.22173055]
15,2,2,3,[17.95467385 12.4824004  20.24219845 23.38938705 20.22193198]
15,2,3,3,[17.70914471 12.35079686 20.25083872 23.33098531 20.22832041]
15,2,4,3,[17.66456763 12.21121254 20.26644987 23.27404044 20.24142952]
15,2,5,3,[17.60941535 12.17520325 20.27817338 23.32730337 20.250373  ]
15,2,6,3,[17.65324874 12.13295678 20.28520212 23.38412084 20.25431281]
15,3,1,2,[43.47757337 45.49999993 38.03419214 36.64020736 50.        ]
15,3,2,2,[43.2528593  45.49999992 37.72033471 36.27856574 50.        ]
15,3,3,2,[43.003177   45.49999991 37.51130905 36.1277296  50.        ]
15,3,4,2,[42.94797444 45.4999999  37.28737234 35.96863894 50.        ]
15,3,5,2,[42.88663827 45.49999989 37.27001377 36.02354381 50.        ]
15,3,6,2,[42.92959808 45.49999988 37.24926228 36.08332089 49.99999999]
16,1,1,2,[-63.97269589 -15.97269589 -15.97269589 -31.06648622 -33.23724817]
16,1,2,2,[-63.85195567 -15.85195567 -15.85195567 -31.10895919 -33.2726509 ]
16,1,3,2,[-63.73060872 -15.73060872 -15.73060871 -31.1290499  -33.27424982]
16,1,4,2,[-63.60865198 -15.60865198 -15.60865197 -31.1354174  -33.26998525]
16,1,5,2,[-63.48608239 -15.48608239 -15.48608238 -31.124782   -33.258016  ]
16,1,6,2,[-63.36289687 -15.36289687 -15.36289687 -31.11680619 -33.24789309]
16,2,1,3,[18.07493695 12.75951264 20.20976369 23.74769382 20.1917799 ]
16,2,2,3,[17.84144369 12.41307049 20.21347341 23.34355396 20.19349142]
16,2,3,3,[17.58968416 12.277819   20.22527274 23.27082049 20.20307052]
16,2,4,3,[17.53983982 12.13378692 20.24604936 23.1981928  20.22138023]
16,2,5,3,[17.48036081 12.09223629 20.26503806 23.23700103 20.23762793]
16,2,6,3,[17.5211707  12.04297849 20.28192321 23.27691761 20.2514675 ]
16,3,1,2,[43.35595567 45.49999999 37.80808705 36.58004104 50.        ]
16,3,2,2,[43.11772852 45.49999999 37.47345561 36.20508755 50.        ]
16,3,3,2,[42.85303169 45.49999999 37.24183093 36.03872414 50.        ]
16,3,4,2,[42.78114632 45.49999999 36.99332105 35.86156284 50.        ]
16,3,5,2,[42.70127369 45.49999998 36.94925552 35.89548021 50.        ]
16,3,6,2,[42.72363743 45.49999998 36.89949244 35.93092783 50.        ]
17,1,1,2,[-66.04565429 -18.04565429 -18.04565429 -31.19430328 -33.29684653]
17,1,2,2,[-65.93533095 -17.93533095 -17.93533095 -31.22256466 -33.32605405]
17,1,3,2,[-65.82445321 -17.82445321 -17.82445321 -31.22651349 -33.32010608]
17,1,4,2,[-65.7130183  -17.7130183  -17.7130183  -31.21487683 -33.30699979]
17,1,5,2,[-65.60102342 -17.60102342 -17.60102342 -31.18451881 -33.28498159]
